Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3493958,-,-,-,22.45,88.3,5,6,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Wind Direction,Pressure,Solar Zenith Angle,DNI,GHI,DHI,Relative Humidity,Dew Point
2019,1,1,0,0,11.3,1.4000000000000001,328,1018,168.41,0,0,0,91.60000000000001,10
2019,1,1,0,15,11.200000000000001,1.4000000000000001,330,1018,164.96,0,0,0,92.21000000000001,10
2019,1,1,0,30,11.100000000000001,1.5,332,1018,161.52,0,0,0,92.82000000000001,10
2019,1,1,0,45,10.9,1.5,334,1017,158.07,0,0,0,94.82000000000001,10.100000000000001
2019,1,1,1,0,10.8,1.5,336,1017,154.63,0,0,0,95.45,10.100000000000001
2019,1,1,1,15,10.700000000000001,1.5,337,1017,151.19,0,0,0,96.09,10.100000000000001
2019,1,1,1,30,10.600000000000001,1.5,338,1017,147.76,0,0,0,96.73,10.100000000000001
2019,1,1,1,45,10.5,1.6,339,1017,144.33,0,0,0,98.04,10.200000000000001
2019,1,1,2,0,10.4,1.6,340,1017,140.91,0,0,0,98.69,10.200000000000001
2019,1,1,2,15,10.3,1.6,341,1017,137.49,0,0,0,99.35000000000001,10.200000000000001
2019,1,1,2,30,10.200000000000001,1.7000000000000002,342,1017,134.09,0,0,0,100,10.200000000000001
2019,1,1,2,45,10.100000000000001,1.7000000000000002,342,1017,130.69,0,0,0,100,10.100000000000001
2019,1,1,3,0,10,1.7000000000000002,343,1017,127.3,0,0,0,100,10
2019,1,1,3,15,9.9,1.8,344,1017,123.93,0,0,0,100,9.9
2019,1,1,3,30,9.9,1.8,345,1017,120.57000000000001,0,0,0,100,9.9
2019,1,1,3,45,9.8,1.8,345,1018,117.22,0,0,0,100,9.8
2019,1,1,4,0,9.700000000000001,1.9000000000000001,346,1018,113.88,0,0,0,100,9.700000000000001
2019,1,1,4,15,9.700000000000001,1.9000000000000001,346,1018,110.57000000000001,0,0,0,100,9.700000000000001
2019,1,1,4,30,9.700000000000001,1.9000000000000001,346,1018,107.27,0,0,0,100,9.700000000000001
2019,1,1,4,45,9.700000000000001,1.9000000000000001,346,1018,103.99000000000001,0,0,0,100,9.700000000000001
2019,1,1,5,0,8.200000000000001,1.9000000000000001,353,1019,100.75,0,0,0,84.63,5.800000000000001
2019,1,1,5,15,8.5,2,353,1019,97.52,0,0,0,82.93,5.800000000000001
2019,1,1,5,30,8.9,2.2,353,1020,94.32000000000001,0,0,0,80.8,5.800000000000001
2019,1,1,5,45,9.3,2.4000000000000004,352,1020,91.15,0,0,0,78.56,5.800000000000001
2019,1,1,6,0,9.600000000000001,2.6,352,1020,87.73,33,10,9,77,5.800000000000001
2019,1,1,6,15,10.200000000000001,2.7,351,1020,84.76,99,38,29,73.97,5.800000000000001
2019,1,1,6,30,10.8,2.8000000000000003,350,1020,81.77,171,77,53,71.08,5.800000000000001
2019,1,1,6,45,11.4,2.9000000000000004,348,1021,78.79,237,122,76,68.58,5.800000000000001
2019,1,1,7,0,11.9,3,347,1021,75.86,299,170,97,66.36,5.800000000000001
2019,1,1,7,15,12.700000000000001,2.9000000000000004,344,1021,72.99,353,219,116,62.97,5.800000000000001
2019,1,1,7,30,13.5,2.7,341,1021,70.18,401,268,132,59.77,5.800000000000001
2019,1,1,7,45,14.3,2.6,339,1021,67.45,482,324,139,61.370000000000005,7
2019,1,1,8,0,15.100000000000001,2.4000000000000004,336,1021,64.81,519,372,151,58.300000000000004,7
2019,1,1,8,15,16.2,2.5,339,1021,62.27,552,417,161,54.34,7
2019,1,1,8,30,17.2,2.6,342,1021,59.84,580,461,169,51.01,7
2019,1,1,8,45,18.3,2.6,345,1021,57.54,610,503,175,49.01,7.4
2019,1,1,9,0,19.3,2.7,348,1020,55.38,631,540,182,46.01,7.4
2019,1,1,9,15,20.200000000000003,2.7,349,1020,53.38,649,574,188,43.52,7.4
2019,1,1,9,30,21,2.6,351,1020,51.56,664,605,192,41.43,7.4
2019,1,1,9,45,21.900000000000002,2.6,352,1020,49.95,680,632,195,39.22,7.4
2019,1,1,10,0,22.8,2.5,353,1019,48.550000000000004,690,655,198,37.1,7.4
2019,1,1,10,15,23.1,2.4000000000000004,351,1019,47.39,698,674,201,36.44,7.4
2019,1,1,10,30,23.5,2.3000000000000003,348,1019,46.49,704,688,203,35.57,7.4
2019,1,1,10,45,23.8,2.3000000000000003,346,1018,45.86,582,663,258,35.050000000000004,7.4
2019,1,1,11,0,24.200000000000003,2.2,344,1018,45.52,585,668,259,34.22,7.4
2019,1,1,11,15,24.3,2.2,342,1018,45.47,585,669,259,34.02,7.4
2019,1,1,11,30,24.400000000000002,2.1,340,1018,45.71,583,666,258,33.81,7.4
2019,1,1,11,45,24.5,2.1,339,1017,46.24,591,661,252,33.62,7.4
2019,1,1,12,0,24.6,2.1,337,1017,47.04,586,648,249,33.43,7.4
2019,1,1,12,15,24.6,2.1,336,1017,48.11,578,632,246,33.43,7.4
2019,1,1,12,30,24.6,2.1,335,1017,49.42,568,611,241,33.43,7.4
2019,1,1,12,45,24.6,2,334,1017,50.96,567,589,232,33.38,7.4
2019,1,1,13,0,24.6,2,333,1017,52.71,552,561,226,33.38,7.4
2019,1,1,13,15,24.400000000000002,2,332,1017,54.65,535,528,219,33.78,7.4
2019,1,1,13,30,24.200000000000003,1.9000000000000001,332,1017,56.75,515,493,210,34.18,7.4
2019,1,1,13,45,24,1.9000000000000001,331,1017,59.01,467,448,207,36.24,8.1
2019,1,1,14,0,23.8,1.9000000000000001,330,1017,61.39,441,407,195,36.67,8.1
2019,1,1,14,15,23.200000000000003,1.7000000000000002,329,1017,63.9,411,363,182,38.02,8.1
2019,1,1,14,30,22.5,1.5,328,1017,66.51,378,317,166,39.660000000000004,8.1
2019,1,1,14,45,21.8,1.3,326,1017,69.21000000000001,349,272,148,54.51,12.200000000000001
2019,1,1,15,0,21.1,1.1,325,1017,71.99,306,224,129,56.89,12.200000000000001
2019,1,1,15,15,20.3,1.2000000000000002,324,1017,74.84,259,176,108,59.75,12.200000000000001
2019,1,1,15,30,19.400000000000002,1.2000000000000002,322,1017,77.75,207,128,84,63.17,12.200000000000001
2019,1,1,15,45,18.5,1.3,321,1017,80.71000000000001,157,85,60,59.65,10.5
2019,1,1,16,0,17.6,1.3,320,1017,83.7,97,45,35,63.1,10.5
